elex_district,elex_samiti,lgd_district,lgd_block_name,lgd_block_code,match_type
ajmer,BHINAY,Ajmer,Bhinay,1150,exact
ajmer,JAWAJA,Ajmer,Jawaja,1151,exact
ajmer,KEKRI,Ajmer,Kekri,1152,exact
ajmer,SRINAGAR,Ajmer,Srinagar,1156,exact
alwar,BANSUR,Alwar,Bansur,1157,exact
alwar,BEHROR,Alwar,Behror,1158,exact
alwar,KATHUMAR,Alwar,Kathumar,1159,exact
alwar,KISHANGARH BAS,Alwar,Kishangarh Bas,1160,exact
alwar,KOTKASIM,Alwar,Kotkasim,1161,exact
alwar,LAXMANGARH,Alwar,Laxmangarh,1162,exact
alwar,MANDAWAR,Alwar,Mandawar,1163,exact
alwar,NEEMRANA,Alwar,Neemrana,1164,exact
alwar,RAJGARH,Alwar,Rajgarh,1165,exact
alwar,RAMGARH,Alwar,Ramgarh,1166,exact
alwar,THANAGAZI,Alwar,Thanagazi,1168,exact
alwar,TIJARA,Alwar,Tijara,1169,exact
alwar,UMREN,Alwar,Umren,1170,exact
banswara,ANANDPURI,Banswara,Anandpuri,1171,exact
banswara,BAGIDORA,Banswara,Bagidora,1172,exact
banswara,GARHI,Banswara,Garhi,1174,exact
banswara,GHATOL,Banswara,Ghatol,1175,exact
banswara,KUSHALGARH,Banswara,Kushalgarh,1176,exact
banswara,SAJJANGARH,Banswara,Sajjangarh,1178,exact
barmer,BALOTRA,Barmer,Balotra,1186,exact
barmer,BARMER,Barmer,Barmer,1187,exact
barmer,BAYTOO,Barmer,Baytoo,1188,exact
barmer,CHOHTAN,Barmer,Chohtan,1189,exact
barmer,DHORIMANNA,Barmer,Dhorimanna,1190,exact
barmer,SHEO,Barmer,Sheo,1191,exact
barmer,SINDHARI,Barmer,Sindhari,1192,exact
barmer,SIWANA,Barmer,Siwana,1193,exact
bharatpur,BAYANA,Bharatpur,Bayana,1194,exact
bharatpur,DEEG,Bharatpur,Deeg,1195,exact
bharatpur,KAMAN,Bharatpur,Kaman,1196,exact
bharatpur,KUMHER,Bharatpur,Kumher,1197,exact
bharatpur,NADBAI,Bharatpur,Nadbai,1198,exact
bharatpur,RUPBAS,Bharatpur,Rupbas,1200,exact
bharatpur,SEWAR,Bharatpur,Sewar,1201,exact
bharatpur,WEIR,Bharatpur,Weir,1202,exact
bhilwara,ASIND,Bhilwara,Asind,1203,exact
bhilwara,BANERA,Bhilwara,Banera,1204,exact
bhilwara,HURDA,Bhilwara,Hurda,1205,exact
bhilwara,JAHAZPUR,Bhilwara,Jahazpur,1206,exact
bhilwara,KOTRI,Bhilwara,Kotri,1207,exact
bhilwara,MANDAL,Bhilwara,Mandal,1208,exact
bhilwara,MANDALGARH,Bhilwara,Mandalgarh,1209,exact
bhilwara,RAIPUR,Bhilwara,Raipur,1210,exact
bhilwara,SAHARA,Bhilwara,Sahara,1211,exact
bhilwara,SHAHPURA,Bhilwara,Shahpura,1212,exact
bhilwara,SUWANA,Bhilwara,Suwana,1213,exact
bikaner,BIKANER,Bikaner,Bikaner,1214,exact
bikaner,KOLAYAT,Bikaner,Kolayat,1215,exact
bikaner,LUNKARANSAR,Bikaner,Lunkaransar,1216,exact
bikaner,NOKHA,Bikaner,Nokha,1217,exact
bundi,HINDOLI,Bundi,Hindoli,1219,exact
bundi,KESHORAI PATAN,Bundi,Keshoraipatan,1220,exact
bundi,NAINWA,Bundi,Nainwa,1221,exact
bundi,TALERA,Bundi,Talera,1222,exact
chittorgarh,BARISADRI,Chittorgarh,Bari Sadri,1224,exact
chittorgarh,BEGUN,Chittorgarh,Begun,1225,exact
chittorgarh,BHADESAR,Chittorgarh,Bhadesar,1226,exact
chittorgarh,BHAINSRORGARH,Chittorgarh,Bhainsrorgarh,1227,exact
