.triplet_norm,n_targets,keys
auraiya_bhagyanagar_lakhanpur,2,औरैया भाग्यनगर लखनपुर; औरैया भाग्यनगर लखनापुर
bagpat_binauli_NA,2,बागपत बिनौली बे  गढी; बागपत बिनौली स  कैडवा
bagpat_pilana_NA,6,बागपत पिलाना s   बसौद; बागपत पिलाना sy   गौसपुर; बागपत पिलाना en   पुरा महादेव; बागपत पिलाना er   रामनगर; बागपत पिलाना es   ढिकौली; बागपत पिलाना y   बिलोचपुरा
bahraich_mahsi_NA,2,बहराइच महसी औराही; बहराइच महसी बहदुरिया
banda_badokhar khurd_NA,3,बांदा बड़ोखर खुर्द ळ्   मौदहा; बांदा बड़ोखर खुर्द ळ्   सैमरा; बांदा बड़ोखर खुर्द ळ्   फतपुरवा
chitrakoot_mau_NA,2,चित्रकूट मऊ q  कोलमजरा; चित्रकूट मऊ बरगढ़ .
chitrakoot_ramnagar_NA,3,चित्रकूट रामनगर s   रामनगर; चित्रकूट रामनगर s   बरिया; चित्रकूट रामनगर ऴ    रगौली
gonda_parsapur_NA,4,गोंडा परसपुर s   डेहरास; गोंडा परसपुर ∞   बलमत्थर; गोंडा परसपुर ∞   परसपुर; गोंडा परसपुर ∞   पूरेलाली
gorakhpur_uruvaon_NA,5,गोरखपुर उरूवॉ ∞   बरपारमाफी; गोरखपुर उरूवॉ ∞   सरस; गोरखपुर उरूवॉ ∞   हरपुर; गोरखपुर उरूवॉ ∞   दुघरा; गोरखपुर उरूवॉ ∞   धुरियापार
jaunpur_badlapur_NA,3,जौनपुर बदलापुर s   गोपालापुर; जौनपुर बदलापुर ळ्   कुधुवा; जौनपुर बदलापुर ळ्   सिगरामऊ
kushinagar_padrauna_NA,3,कुशीनगर पड़रौना जं  जगदीश; कुशीनगर पड़रौना जं  हनुमानगंज; कुशीनगर पड़रौना जं o नाहर छपरा
pratapgarh_mandhaata_NA,3,प्रतापगढ़ मान्धाता ९   बछुआ; प्रतापगढ़ मान्धाता ळ्   जूड़ापुर; प्रतापगढ़ मान्धाता ळ    बगियापुर
rae bareli_sataon_NA,2,रायबरेली सताँव पुरवा पिंडोर; रायबरेली सताँव वरडवा
rampur_bilaaspur_NA,2,रामपुर बिलासपुर ☺   पिपलिया महतो; रामपुर बिलासपुर ☺  कोटा अलीनगर
