dist_name_new_2010,samiti_name_new_2010,gp_new_2010
AJMER,ARAIN,ajgara
AJMER,ARAIN,fatehgarh
AJMER,ARAIN,rampali
AJMER,ARAIN,syar
AJMER,BHINAY,jotaya
AJMER,BHINAY,sarana
AJMER,BHINAY,shergarh
AJMER,BHINAY,sobari
AJMER,BHINAY,tantoti
AJMER,KEKRI,bajta
AJMER,KEKRI,dhoondhari
AJMER,KEKRI,ghatiyali
AJMER,KEKRI,napakhera girwarpura
AJMER,KEKRI,para
AJMER,KEKRI,sadara
AJMER,KEKRI,tankawas
AJMER,MASOODA,badi
AJMER,PISANGAN,bithur
AJMER,PISANGAN,derathu
AJMER,PISANGAN,hatundi
AJMER,PISANGAN,jhadwasa
AJMER,PISANGAN,kadeil
AJMER,PISANGAN,khori
AJMER,PISANGAN,nand
AJMER,PISANGAN,peesangan
AJMER,PISANGAN,rajosi
AJMER,PISANGAN,saradhana
AJMER,PISANGAN,tilora
AJMER,SRINAGAR,aradka
AJMER,SRINAGAR,babayacha
AJMER,SRINAGAR,bhudol
AJMER,SRINAGAR,beer
AJMER,SRINAGAR,bubani
AJMER,SRINAGAR,chachiyawas
AJMER,SRINAGAR,gagwana
AJMER,SRINAGAR,gegal
AJMER,SRINAGAR,godiyawas
AJMER,SRINAGAR,ramner dhani
ALWAR,BEHROR,khoher
ALWAR,KISHANGARH BAS,bahaderpur patti
ALWAR,KISHANGARH BAS,bhajeda
ALWAR,KISHANGARH BAS,ganj
ALWAR,KOTKASIM,kotkasim
ALWAR,LAXMANGARH,chidwai
ALWAR,LAXMANGARH,dongdi
ALWAR,LAXMANGARH,ghat
ALWAR,LAXMANGARH,govindgarh
ALWAR,LAXMANGARH,iteda
ALWAR,LAXMANGARH,khedamehmood
ALWAR,LAXMANGARH,lili
ALWAR,LAXMANGARH,moliya
ALWAR,LAXMANGARH,naswari
ALWAR,LAXMANGARH,phaheri
ALWAR,LAXMANGARH,saimlakhurd
ALWAR,LAXMANGARH,sadempur
ALWAR,MANDAWAR,bhugedaahir
ALWAR,MANDAWAR,shyopur
ALWAR,NEEMRANA,mandhan
ALWAR,RAJGARH,purana rajgarh
ALWAR,RAMGARH,desula
ALWAR,RAMGARH,dhanetagari
ALWAR,RAMGARH,douheli
ALWAR,RAMGARH,khedi
ALWAR,RAMGARH,khedli sayeed
ALWAR,RAMGARH,nougaon
ALWAR,RAMGARH,piprali
ALWAR,THANAGAZI,bhangdoli
ALWAR,THANAGAZI,hernair
