district,samiti,elex_gp,lgd_gp,lgd_gp_code,match_distance,match_quality,sl_no_2010
AJMER,ARAIN,arai,Arain,33589,0.06666666666666678,strict,ajmer_arain_arai
AJMER,ARAIN,lallai,Arain,33589,0.3,loose,ajmer_arain_lallai
AJMER,ARAIN,kaseer,Kasheer,33604,0.04761904761904765,strict,ajmer_arain_kaseer
AJMER,ARAIN,kheeriya,Kasheer,33604,0.22023809523809523,loose,ajmer_arain_kheeriya
AJMER,ARAIN,manoharpura,Manoharpura,33610,0,exact,ajmer_arain_manoharpura
AJMER,ARAIN,harpura,Manoharpura,33610,0.28787878787878796,loose,ajmer_arain_harpura
AJMER,ARAIN,sandoliya,Sandoliya,33612,0,exact,ajmer_arain_sandoliya
AJMER,ARAIN,sanpla,Sandoliya,33612,0.20370370370370378,loose,ajmer_arain_sanpla
AJMER,ARAIN,hingoniya,Sandoliya,33612,0.29629629629629634,loose,ajmer_arain_hingoniya
AJMER,ARAIN,sironj,Siroonj,33614,0.04761904761904765,strict,ajmer_arain_sironj
AJMER,ARAIN,soonpa,Siroonj,33614,0.253968253968254,loose,ajmer_arain_soonpa
AJMER,BHINAY,badgaon,Bargaon (Surkhand),33618,0.255952380952381,loose,ajmer_bhinay_badgaon
AJMER,BHINAY,bhagwantpura,Bargaon (Surkhand),33618,0.27777777777777785,loose,ajmer_bhinay_bhagwantpura
AJMER,BHINAY,barol,Barli,33619,0.13333333333333336,strict,ajmer_bhinay_barol
AJMER,BHINAY,dabrela,Barli,33619,0.29285714285714287,loose,ajmer_bhinay_dabrela
AJMER,BHINAY,bhinay,Bhinay,33622,0,exact,ajmer_bhinay_bhinay
AJMER,BHINAY,kebaniya,Bhinay,33622,0.24722222222222212,loose,ajmer_bhinay_kebaniya
AJMER,BHINAY,nagola,Nagola,33639,0,exact,ajmer_bhinay_nagola
AJMER,BHINAY,goyala,Nagola,33639,0.21111111111111114,loose,ajmer_bhinay_goyala
AJMER,BHINAY,satolav,Nagola,33639,0.253968253968254,loose,ajmer_bhinay_satolav
AJMER,BHINAY,padliya,Padaliya,33641,0.13690476190476192,strict,ajmer_bhinay_padliya
AJMER,BHINAY,shokaliya,Padaliya,33641,0.27314814814814825,loose,ajmer_bhinay_shokaliya
AJMER,JAWAJA,dewata,Dewata,33662,0,exact,ajmer_jawaja_dewata
AJMER,JAWAJA,delwara,Dewata,33662,0.1507936507936509,strict,ajmer_jawaja_delwara
AJMER,JAWAJA,naikalan,Nai Kalan,33673,0.037037037037037104,strict,ajmer_jawaja_naikalan
AJMER,JAWAJA,khedakalan,Nai Kalan,33673,0.3,loose,ajmer_jawaja_khedakalan
AJMER,JAWAJA,nundri maldev,Noondri Maldeo,33675,0.12271062271062277,strict,ajmer_jawaja_nundri maldev
AJMER,JAWAJA,nundrimedratan,Noondri Maldeo,33675,0.27513227513227506,loose,ajmer_jawaja_nundrimedratan
AJMER,KEKRI,devgaon,Deogaon,33694,0.09523809523809525,strict,ajmer_kekri_devgaon
AJMER,KEKRI,gulgaon,Deogaon,33694,0.28571428571428575,loose,ajmer_kekri_gulgaon
AJMER,KEKRI,kalera krishna gopal,Kalera Krishna Gopal,33702,0,exact,ajmer_kekri_kalera krishna gopal
AJMER,KEKRI,kalera kanwarji,Kalera Krishna Gopal,33702,0.22521367521367536,loose,ajmer_kekri_kalera kanwarji
AJMER,KEKRI,khawas,Khawas,33704,0,exact,ajmer_kekri_khawas
AJMER,KEKRI,chitiwas,Khawas,33704,0.27777777777777785,loose,ajmer_kekri_chitiwas
AJMER,KEKRI,mewdakalan,Meoda Kalan,33708,0.09393939393939396,strict,ajmer_kekri_mewdakalan
AJMER,KEKRI,mehroonkalan,Meoda Kalan,33708,0.2436868686868687,loose,ajmer_kekri_mehroonkalan
AJMER,KEKRI,salari,Salari,33714,0,exact,ajmer_kekri_salari
AJMER,KEKRI,sawar,Salari,33714,0.17777777777777778,strict,ajmer_kekri_sawar
AJMER,PISANGAN,bhagwanpura,Bhagwanpura,33782,0,exact,ajmer_pisangan_bhagwanpura
AJMER,PISANGAN,bhawanikhera,Bhagwanpura,33782,0.20202020202020204,loose,ajmer_pisangan_bhawanikhera
AJMER,PISANGAN,ganahera,Bhagwanpura,33782,0.23430735930735944,loose,ajmer_pisangan_ganahera
AJMER,PISANGAN,bhatsuri,Bhatsoori,33785,0.11574074074074082,strict,ajmer_pisangan_bhatsuri
AJMER,PISANGAN,baghsuri,Bhatsoori,33785,0.25000000000000006,loose,ajmer_pisangan_baghsuri
AJMER,PISANGAN,bhatiyani,Bhatsoori,33785,0.29629629629629634,loose,ajmer_pisangan_bhatiyani
AJMER,PISANGAN,dantada,Dantra,33790,0.1507936507936509,strict,ajmer_pisangan_dantada
AJMER,PISANGAN,dumara,Dantra,33790,0.22222222222222238,loose,ajmer_pisangan_dumara
AJMER,PISANGAN,bhanwta,Dantra,33790,0.253968253968254,loose,ajmer_pisangan_bhanwta
AJMER,PISANGAN,nyara,Dantra,33790,0.2611111111111111,loose,ajmer_pisangan_nyara
AJMER,PISANGAN,nagelav,Nagelao,33812,0.09523809523809525,strict,ajmer_pisangan_nagelav
AJMER,PISANGAN,nandla,Nagelao,33812,0.253968253968254,loose,ajmer_pisangan_nandla
AJMER,SRINAGAR,narwar,Nyara,33815,0.17777777777777778,strict,ajmer_srinagar_narwar
AJMER,SRINAGAR,untada,Nyara,33815,0.3,loose,ajmer_srinagar_untada
AJMER,PISANGAN,pagara,Pagara,33816,0,exact,ajmer_pisangan_pagara
AJMER,PISANGAN,rajgarh,Pagara,33816,0.253968253968254,loose,ajmer_pisangan_rajgarh
AJMER,PISANGAN,devnagar,Pagara,33816,0.27777777777777785,loose,ajmer_pisangan_devnagar
AJMER,SRINAGAR,kanpura,Kanpura,33843,0,exact,ajmer_srinagar_kanpura
AJMER,SRINAGAR,kayampura,Kanpura,33843,0.26984126984126994,loose,ajmer_srinagar_kayampura
AJMER,SRINAGAR,tilana,Tilana,33862,0,exact,ajmer_srinagar_tilana
AJMER,SRINAGAR,danta,Tilana,33862,0.3,loose,ajmer_srinagar_danta
ALWAR,BANSUR,shyampura,Shyampura,33898,0,exact,alwar_bansur_shyampura
ALWAR,BANSUR,gyanpura,Shyampura,33898,0.19444444444444453,strict,alwar_bansur_gyanpura
ALWAR,BEHROR,budhwal,Boorhwal,33903,0.22023809523809523,loose,alwar_behror_budhwal
ALWAR,BEHROR,riwali,Boorhwal,33903,0.27777777777777785,loose,alwar_behror_riwali
ALWAR,BEHROR,gandala,Gandala,33906,0,exact,alwar_behror_gandala
ALWAR,BEHROR,manchal,Gandala,33906,0.28571428571428575,loose,alwar_behror_manchal
ALWAR,BEHROR,karoda,Karoda,33915,0,exact,alwar_behror_karoda
ALWAR,BEHROR,barod,Karoda,33915,0.17777777777777778,strict,alwar_behror_barod
ALWAR,BEHROR,kakardopa,Karoda,33915,0.19444444444444453,strict,alwar_behror_kakardopa
ALWAR,BEHROR,mohammedpur,Mohammadpur,33921,0.06060606060606061,strict,alwar_behror_mohammedpur
ALWAR,BEHROR,hamidpur,Mohammadpur,33921,0.23430735930735944,loose,alwar_behror_hamidpur
ALWAR,KATHUMAR,sahari,Sahari,33958,0,exact,alwar_kathumar_sahari
ALWAR,KATHUMAR,kathumar,Sahari,33958,0.27777777777777785,loose,alwar_kathumar_kathumar
ALWAR,KATHUMAR,sonkh,Sonkh,33961,0,exact,alwar_kathumar_sonkh
ALWAR,KATHUMAR,sonkher,Sonkh,33961,0.09523809523809525,strict,alwar_kathumar_sonkher
ALWAR,KISHANGARH BAS,bagherikalan,Bagheri Kalan,33969,0.025641025641025605,strict,alwar_kishangarh bas_bagherikalan
ALWAR,KISHANGARH BAS,raibka,Bagheri Kalan,33969,0.26282051282051283,loose,alwar_kishangarh bas_raibka
