district_name_eng_2010,block_name_eng_2010,gp_name_eng_2010,lgd_block_code,lgd_block_name
Saharanpur,Rampur Maniharan,Rampur Gramin,2080,Rampur Maniharan
Saharanpur,Devbanda,Kainduki,2073,Deoband
Saharanpur,Muzaffarabad,Jeeva Ahtam,2075,Muzaffarabad
Saharanpur,Sarsawa,Sikri,2082,Sarsawan
Saharanpur,Puranka,Lakkar Pur Urf Chamri,2079,Puwarka
Saharanpur,Nagal,Dhaundhahedi,2076,Nagal
Saharanpur,Nagal,Sheetlakheda,2076,Nagal
Muzzafarnagar,Baghra,Chiroli Niwada,2007,Baghara
Muzzafarnagar,Purkaji,Khedeki,2016,Purkaji
Muzzafarnagar,Khatauli,Sonta,2013,Khatauli
Muzzafarnagar,Khatauli,Khedi Quraish,2013,Khatauli
Muzzafarnagar,Kairana,Kannukheda Badhouwa,2011,Kairana
Muzzafarnagar,Morna,Karheda,2014,Morna
Muzzafarnagar,Morna,Vajibad,2014,Morna
Muzzafarnagar,Jansath,Rasulpur Garhi,2010,Jansath
Muzzafarnagar,Jansath,Turehdi,2010,Jansath
Muzzafarnagar,Shahpur,Paldi,2017,Shahpur
Muzzafarnagar,Sadar,Kookda,2015,Muzaffarnagar
Muzzafarnagar,Sadar,Vahlana,2015,Muzaffarnagar
Muzzafarnagar,Sadar,Sujdu,2015,Muzaffarnagar
Muzzafarnagar,Sadar,Shahabuddin Pur,2015,Muzaffarnagar
Muzzafarnagar,Shamli,Butradi,2018,Shamli
Muzzafarnagar,Shamli,Simbhalka,2018,Shamli
Muzzafarnagar,Un,Bhaadi Mustafabad,2020,Un
Muzzafarnagar,Charthaawal,Chaukda,2009,Charthawal
Muzzafarnagar,Charthaawal,Bahedi Begumpar,2009,Charthawal
Muzzafarnagar,Kandla,Karaunda Mahajan,2012,Kandhla
Muzzafarnagar,Kandla,K h w aspur,2012,Kandhla
Muzzafarnagar,Kandla,Kamrudinagar,2012,Kandhla
Muzzafarnagar,Kandla,Fugana,2012,Kandhla
Meerut,Daurala,Jalalpur Behata,1970,Daurala
Meerut,Daurala,Azhauta,1970,Daurala
Meerut,Daurala,Mavimira Jainpur,1970,Daurala
Meerut,Rajpura,Lalasana,1978,Rajpura
Meerut,Rajpura,Chiloura,1978,Rajpura
Meerut,Rajpura,Samaipur,1978,Rajpura
Meerut,Kharkhauda,Sh O Lauti,1973,Kharkhoda
Meerut,Meerut,Bhoodbaral,1976,Meerut
Meerut,Meerut,Fafunda,1976,Meerut
Meerut,Hastinaapur,Badhavali,1971,Hastinapur
Meerut,Hastinaapur,Sikheda,1971,Hastinapur
Meerut,Sardhana,Jwalagadh,1980,Sardhana
Meerut,Sardhana,Kuljhan - Madarpura,1980,Sardhana
Meerut,Sarurpur Khurd,Ekdi,1981,Sarurpur Khurd
Meerut,Machhra,Lu. Bakshar,1974,Machra
Meerut,Machhra,Shola,1974,Machra
Meerut,Machhra,Dehat Kithor,1974,Machra
Meerut,Machhra,Mahalwala,1974,Machra
Meerut,Machhra,Shahjahnapur,1974,Machra
Meerut,Parikshitgarh,Parikshitgarh,1977,Parikshitgarh
Bagpat,Khekhada,Gona Sahwanpur,1475,Khekra
Bagpat,Khekhada,Dundaheda,1475,Khekra
Bagpat,Khekhada,Ratoul,1475,Khekra
Bagpat,Khekhada,Bada Gaw,1475,Khekra
Bagpat,Baraut,Badka Deogad,1472,Baraut
Bagpat,Baraut,Odhapur Adlabad,1472,Baraut
Bagpat,Chhaparauli,Ku di,1474,Chhaprauli
Bagpat,Binauli,Mu 0 Poies,1473,Binauli
Bagpat,Bagpat,Nangla Jafrabad,1471,Baghpat
Bagpat,Bagpat,Hamidabad,1471,Baghpat
Bagpat,Bagpat,A ० Pur Gadina,1471,Baghpat
Bagpat,Bagpat,Dhouja Nangla,1471,Baghpat
Ghaziabad,Loni,Banthla,1715,Loni
Ghaziabad,Loni,Khanpur Japti,1715,Loni
Ghaziabad,Loni,Tila Shahbazpur,1715,Loni
Ghaziabad,Loni,Khoda,1715,Loni
Ghaziabad,Dhaulana,Vazhairakalan,1712,Dhaulana
Ghaziabad,Muradnagar,Sikheda Hazari Fatehpur,1716,Muradnagar
Ghaziabad,Muradnagar,Sarna Muradnagar,1716,Muradnagar
Ghaziabad,Hapur,Goyana Jasrupanagar,1714,Hapur
Ghaziabad,Hapur,Daumiy Jarauthi,1714,Hapur
Ghaziabad,Hapur,Asauda,1714,Hapur
Ghaziabad,Hapur,Badnauli,1714,Hapur
Ghaziabad,Rajapur,Didwari Urf Chitouda,1717,Rajapur
Ghaziabad,Rajapur,Mou 0 Dhbarsi,1717,Rajapur
Ghaziabad,Rajapur,Seekri Kalan,1717,Rajapur
Ghaziabad,Garhmukteshwar,Nanai Sheikhamir,1713,Garh Mukteshwar
Ghaziabad,Bhojpur,Sikrikhurd,1711,Bhojpur
Ghaziabad,Bhojpur,Pilkhuwa Dehaat,1711,Bhojpur
Ghaziabad,Bhojpur,Bishokhar,1711,Bhojpur
Ghaziabad,Bhojpur,Begamabad Budhana,1711,Bhojpur
Ghaziabad,Simbhavli,M.pur Khudliya,1718,Simbhawali
Ghaziabad,Simbhavli,Mau.pur Azamput,1718,Simbhawali
Gautam Buddha Nagar,Visarkh,Haibatpur,1707,Bisrakh
