district,block,elex_gp,lgd_gp,lgd_gp_code,match_distance,gp_match_type,key_2010
Agra,Bah,Kalimjar,Kalinjar,42828,0.08333333333333338,fuzzy,up2010__row42709
Agra,Bah,Kanjara,Kalinjar,42828,0.130952380952381,fuzzy,up2010__row7522
Agra,Baroli Ahir,Kakraari,Kakrari,42879,0.04166666666666672,fuzzy,up2010__row42597
Agra,Baroli Ahir,Kahrai,Kakrari,42879,0.1507936507936509,fuzzy,up2010__row42577
Agra,Baroli Ahir,Kaulkha,Kaulakha,42884,0.11309523809523819,fuzzy,up2010__row42583
Agra,Baroli Ahir,Kalalkhediya,Kaulakha,42884,0.18055555555555555,fuzzy,up2010__row42573
Agra,Etmaadpur,Biruni,Biruni,42938,0,exact,up2010__row24982
Agra,Etmaadpur,Baini,Biruni,42938,0.17777777777777778,fuzzy,up2010__row25813
Agra,Khandoli,Khadia,Khandia,43165,0.04761904761904765,fuzzy,up2010__row42544
Agra,Khandoli,Khedia,Khandia,43165,0.1507936507936509,fuzzy,up2010__row42548
Agra,Shamshabaad,Karodna Khurd,Kolara Khurd,43312,0.12451437451437454,fuzzy,up2010__row5978
Agra,Shamshabaad,Kaulara Khurd,Kolara Khurd,43312,0.13966588966588966,fuzzy,up2010__row42656
Agra,Shamshabaad,Lakhurani,Lakhurani,43317,0,exact,up2010__row33614
Agra,Shamshabaad,Luhaari,Lakhurani,43317,0.16931216931216936,fuzzy,up2010__row34054
Agra,Shamshabaad,Kaulari,Lakhurani,43317,0.19312169312169322,fuzzy,up2010__row42667
Allahabad,Bahadurpur,Bahadurpur,Bahadurpur,44193,0,exact,up2010__row24400
Allahabad,Bahadurpur,Bahadurpur Kachhar,Bahadurpur,44193,0.14814814814814825,fuzzy,up2010__row24422
Allahabad,Bahadurpur,Baraippur,Baraepur,44197,0.11574074074074082,fuzzy,up2010__row23400
Allahabad,Bahadurpur,Balrampur,Baraepur,44197,0.11574074074074082,fuzzy,up2010__row23929
Allahabad,Bahadurpur,Birgapur,Birgapur,44203,0,exact,up2010__row24951
Allahabad,Bahadurpur,Bhagipur,Birgapur,44203,0.130952380952381,fuzzy,up2010__row26790
Allahabad,Bahadurpur,Kandi,Kandi,44229,0,exact,up2010__row6406
Allahabad,Bahadurpur,Kuwandih,Kandi,44229,0.12500000000000006,fuzzy,up2010__row7244
Allahabad,Bahadurpur,Pahadpur,Paharpur,44254,0.15476190476190485,fuzzy,up2010__row20670
Allahabad,Bahadurpur,Amarsapur,Paharpur,44254,0.19444444444444453,fuzzy,up2010__row2432
Allahabad,Bahadurpur,Ramaipur,Ramaepur,44259,0.08333333333333338,fuzzy,up2010__row31653
Allahabad,Bahadurpur,Rahimapur,Ramaepur,44259,0.11574074074074082,fuzzy,up2010__row32004
Allahabad,Bahadurpur,Raamaapur,Ramaepur,44259,0.16335978835978843,fuzzy,up2010__row32747
Allahabad,Baharia,Atanpur,Atanpur,44285,0,exact,up2010__row2099
Allahabad,Baharia,Pratapur,Atanpur,44285,0.130952380952381,fuzzy,up2010__row21893
Allahabad,Baharia,Badalpur,Badalpur,44286,0,exact,up2010__row24614
Allahabad,Baharia,Baliyapur,Badalpur,44286,0.16335978835978843,fuzzy,up2010__row23966
Allahabad,Baharia,Chamrupur,Chamarupur,44301,0.033333333333333416,fuzzy,up2010__row11607
Allahabad,Baharia,Chaimalpur,Chamarupur,44301,0.17500000000000002,fuzzy,up2010__row12058
Allahabad,Baharia,Gaharpur,Gaharpur,44315,0,exact,up2010__row9803
Allahabad,Baharia,Gorapur,Gaharpur,44315,0.18650793650793648,fuzzy,up2010__row10559
Allahabad,Baharia,Mulhapur,Mulhapur,44342,0,exact,up2010__row30655
Allahabad,Baharia,Tulapur,Mulhapur,44342,0.130952380952381,fuzzy,up2010__row15568
Allahabad,Chaka,BhaDara UmargjaN,Bhandra Umar Ganj,44383,0.18227124183006543,fuzzy,up2010__row26300
Allahabad,Chaka,Baramar,Bhandra Umar Ganj,44383,0.1960784313725491,fuzzy,up2010__row23705
Allahabad,Chaka,Piprawan,Pipraon,44416,0.130952380952381,fuzzy,up2010__row21130
Allahabad,Chaka,Pipirsa,Pipraon,44416,0.19047619047619044,fuzzy,up2010__row21231
Allahabad,Dhanupur,Bhulnapur,Bhusalpur,44436,0.11574074074074082,fuzzy,up2010__row27189
Allahabad,Dhanupur,Bhooshalpur,Bhusalpur,44436,0.12794612794612809,fuzzy,up2010__row27258
Allahabad,Dhanupur,Shripur,Shripur,44506,0,exact,up2010__row35994
Allahabad,Dhanupur,Haripur,Shripur,44506,0.09523809523809525,fuzzy,up2010__row40179
Allahabad,Dhanupur,Baijpur,Balipur,44509,0.09523809523809525,fuzzy,up2010__row25766
Allahabad,Dhanupur,Bhagotipur,Balipur,44509,0.18095238095238095,fuzzy,up2010__row26159
Allahabad,Handiya,Ataraura,Ataraura,44519,0,exact,up2010__row2130
Allahabad,Handiya,Maharwara,Ataraura,44519,0.19444444444444453,fuzzy,up2010__row29081
Allahabad,Holagarh,Hasanpur,Hasanpur,44602,0,exact,up2010__row40305
Allahabad,Holagarh,Babhanpur,Hasanpur,44602,0.16335978835978843,fuzzy,up2010__row23281
Allahabad,Holagarh,Kasturipur Kasturi,Kasturipur Kasturi,44609,0,exact,up2010__row6289
Allahabad,Holagarh,Kasturipur,Kasturipur Kasturi,44609,0.14814814814814825,fuzzy,up2010__row6287
Allahabad,Karachna,Mahori Riwan,Mahorirewa,44748,0.11666666666666675,fuzzy,up2010__row29421
Allahabad,Karachna,Mahewa,Mahorirewa,44748,0.13333333333333336,fuzzy,up2010__row29369
Allahabad,Kaudihar,Adampur,Adampur,44816,0,exact,up2010__row3454
Allahabad,Kaudihar,Madpur,Adampur,44816,0.1507936507936509,fuzzy,up2010__row29517
Allahabad,Kaudihar,Saidpur,Adampur,44816,0.19047619047619044,fuzzy,up2010__row39273
Allahabad,Kaudihar,AdamPur Madaripur,Adampur,44816,0.1960784313725491,fuzzy,up2010__row3472
Allahabad,Kaudihar,Dadanpur,Dadanpur,44842,0,exact,up2010__row16223
Allahabad,Kaudihar,Mardandpur,Dadanpur,44842,0.17083333333333345,fuzzy,up2010__row28564
Allahabad,Kaudihar,Ananpur,Dadanpur,44842,0.18650793650793648,fuzzy,up2010__row3497
Allahabad,Kaudihar,Lakhanpur,Dadanpur,44842,0.19444444444444453,fuzzy,up2010__row33531
Allahabad,Kaudihar,Husainpur,Husenpur,44858,0.11574074074074082,fuzzy,up2010__row40636
Allahabad,Kaudihar,Sherpur,Husenpur,44858,0.18650793650793648,fuzzy,up2010__row35876
Allahabad,Kaudihar,Rampur,Rampur,44915,0,exact,up2010__row32446
