dist_name_new_2010,samiti_name_new_2010,gp_new_2010
ajmer,ARAI,ajgara
ajmer,ARAI,fatehgarh
ajmer,ARAI,rampali
ajmer,ARAI,syar
ajmer,BHINAY,jotaya
ajmer,BHINAY,shergarh
ajmer,KEKRI,dhoondhari
ajmer,KEKRI,ghatiyali
ajmer,KEKRI,gordha
ajmer,KEKRI,napakhera/ girwarpura
ajmer,KEKRI,tankawas
ajmer,PEESANGAN,bithur
ajmer,PEESANGAN,derathu
ajmer,PEESANGAN,hatundi
ajmer,PEESANGAN,jhadwasa
ajmer,PEESANGAN,kadeil
ajmer,PEESANGAN,khori
ajmer,PEESANGAN,nand
ajmer,PEESANGAN,peesangan
ajmer,PEESANGAN,rajosi
ajmer,PEESANGAN,saradhana
ajmer,PEESANGAN,tilora
ajmer,SRINAGAR,babayacha
ajmer,SRINAGAR,beer
ajmer,SRINAGAR,bhudol
ajmer,SRINAGAR,bubani
ajmer,SRINAGAR,chachiyawas
ajmer,SRINAGAR,gagwana
ajmer,SRINAGAR,gegal
ajmer,SRINAGAR,godiyawas
ajmer,SRINAGAR,ramner dhani
alwar,KISHANGARH BAS,bahaderpur patti
alwar,KISHANGARH BAS,bhajeda
alwar,KISHANGARH BAS,ganj
alwar,KOTKASIM,kotkasim
alwar,LAXMANGARH,chidwai
alwar,LAXMANGARH,dongdi
alwar,LAXMANGARH,ghat
alwar,LAXMANGARH,govindgarh
alwar,LAXMANGARH,iteda
alwar,LAXMANGARH,khedamehmood
alwar,LAXMANGARH,lili
alwar,LAXMANGARH,moliya
alwar,LAXMANGARH,naswari
alwar,LAXMANGARH,phaheri
alwar,LAXMANGARH,sadempur
alwar,LAXMANGARH,saimlakhurd
alwar,MANDAWAR,bhugedaahir
alwar,MANDAWAR,shyopur
alwar,NEEMRANA,mandhan
alwar,RAJGARH,purana rajgarh
alwar,RAMGARH,desula
alwar,RAMGARH,dhanetagari
alwar,RAMGARH,douheli
alwar,RAMGARH,khedi
alwar,RAMGARH,khedli sayeed
alwar,RAMGARH,nougaon
alwar,RAMGARH,piprali
alwar,THANAGAZI,hernair
alwar,THANAGAZI,nathusar
alwar,THANAGAZI,silibavdi
alwar,TIJARA,tapukeda
alwar,UMREN,beder
alwar,UMREN,bijwad
alwar,UMREN,dader
alwar,UMREN,punkher
banswara,BAGIDORA,dhaler
banswara,BAGIDORA,handi
banswara,BAGIDORA,jambudi
banswara,BAGIDORA,jharwa kalan
banswara,BAGIDORA,khodalim
banswara,BAGIDORA,khunti narji
banswara,BAGIDORA,moti timbi
banswara,BAGIDORA,munna dungar
banswara,BAGIDORA,ram ka munna
banswara,BAGIDORA,rohanvadi
banswara,BAGIDORA,shehergarh
banswara,BAGIDORA,tandi nani
banswara,GARHI,itauva
banswara,GARHI,jolana
banswara,GARHI,nahali
banswara,GARHI,tamtiya rathod
banswara,GHATOL,amarsingh ka gada
banswara,GHATOL,bichhiwada
