district,samiti,elex_gp,lgd_gp,lgd_gp_code,match_distance,tie_count,match_quality
ajmer,BHINAY,sobari,Sobdi,33650,0.17777777777777778,2,strict
ajmer,MASUDA,badi,Bari,33751,0.1666666666666667,2,strict
alwar,BEHROR,khoher,Khohar,33916,0.11111111111111106,2,strict
bharatpur,BAYANA,navli,Naroli,35283,0.17777777777777778,2,strict
bharatpur,DEEG,sanwai,Samai,35327,0.17777777777777778,2,strict
bharatpur,KUMHER,uwar,Ubar,35411,0.1666666666666667,2,strict
bikaner,DUNGARGARH,punrasar,Poonrasar,36202,0.11574074074074082,2,strict
bikaner,NOKHA,mansuri,Mainsar,36160,0.19047619047619044,2,strict
dholpur,DHOLPUR,dubra,Doobra,37330,0.17777777777777778,2,strict
dungarpur,SAGWARA,mandawa,Mandav,37565,0.1507936507936509,2,strict
ganganagar,ANUPGARH,12 gb,12 A-B,295075,0.13333333333333336,3,strict
ganganagar,ANUPGARH,15 bld,15 Ab,37660,0.17777777777777778,2,strict
ganganagar,ANUPGARH,17 gb,61 Gb,37708,0.13333333333333336,4,strict
ganganagar,ANUPGARH,24 gb,54 Gb,37700,0.13333333333333336,3,strict
ganganagar,ANUPGARH,28 gb,72 Gb,37715,0.13333333333333336,2,strict
ganganagar,ANUPGARH,41 gb,54 Gb,37700,0.13333333333333336,3,strict
ganganagar,ANUPGARH,42 gb,54 Gb,37700,0.13333333333333336,3,strict
ganganagar,ANUPGARH,50 gb,54 Gb,37700,0.13333333333333336,4,strict
ganganagar,ANUPGARH,7 gb,72 Gb,37715,0.06666666666666678,3,strict
jaisalmer,SAM,rama,Raimala,38777,0.142857142857143,2,strict
jaisalmer,SANKRA,bhaniyana,Bhadriya,294266,0.19444444444444453,2,strict
jalore,AHORE,norva,Norwa,38858,0.13333333333333336,2,strict
jalore,JASWANTPURA,gejapura,Gajapura,38943,0.130952380952381,2,strict
jalore,SAYLA,asana,Posana,39051,0.17777777777777778,3,strict
karauli,SAPOTRA,batda,Bagida,40084,0.17777777777777778,2,strict
nagaur,KUCHAMANCITY,ruppura,Prempura,40525,0.18650793650793648,2,strict
rajsamand,RAJSAMAND,farara,Bararda,41295,0.1507936507936509,2,strict
sawaimadhopur,GANGAPUR,hirapur,Heerapur,41407,0.130952380952381,2,strict
sawaimadhopur,SAWAI MADHOPUR,bhedola,Badolas,41475,0.19047619047619044,2,strict
sirohi,REODAR,mandar,Anadra,41907,0.17777777777777778,2,strict
udaipur,SARADA,kharbar,Kharbar A,262751,0.07407407407407415,2,strict
ajmer,BHINAY,sarana,Karanti,33634,0.253968253968254,2,loose
ajmer,BHINAY,tantoti,Dhantol,33628,0.28571428571428575,2,loose
ajmer,KEKRI,bajta,Bharai,33690,0.3,2,loose
ajmer,KEKRI,para,Bharai,33690,0.25000000000000006,2,loose
ajmer,KEKRI,sadara,Salari,33714,0.22222222222222238,2,loose
ajmer,SRINAGAR,aradka,Jharwasa,33801,0.27777777777777785,3,loose
alwar,THANAGAZI,bhangdoli,Angari,34233,0.29629629629629634,2,loose
alwar,UMREN,dhakpuri,Hajipur,262473,0.22023809523809523,2,loose
banswara,GARHI,keserpura,Karanpur,34476,0.27314814814814825,2,loose
banswara,KUSHALGARH,patan,Ghata,262219,0.26666666666666666,2,loose
barmer,BALOTRA,khanoda,Kanana,34895,0.253968253968254,2,loose
barmer,CHOHTAN,itada,Bijrad,35032,0.3,2,loose
barmer,SHEO,aasadi,Balasar,35124,0.253968253968254,2,loose
barmer,SHEO,harsani,Harwa,262398,0.20952380952380956,2,loose
barmer,SINDHARI,sanjta,Bhata,262566,0.3,2,loose
barmer,SIWANA,lalana,Arjiyana,295535,0.27777777777777785,2,loose
bharatpur,KAMAN,levda,Lewara,35356,0.3,2,loose
bharatpur,NAGAR,maliki,Palka,35483,0.3,2,loose
bharatpur,RUPBAS,kurka,Burana,294134,0.3,2,loose
bharatpur,WEIR,kamalpur,Jahanpur,35601,0.25000000000000006,2,loose
bhilwara,MANDAL,laduwas,Bawalas,35788,0.28571428571428575,2,loose
bikaner,LUNKARANSAR,kharbara,Kapurisar,36107,0.27314814814814825,2,loose
chittorgarh,BARISADRI,mahunda,Mahoora,36438,0.28571428571428575,2,loose
chittorgarh,NIMBAHERA,falva,Gadola,36691,0.3,3,loose
churu,RAJGARH,niman,Nawan,36855,0.26666666666666666,2,loose
dausa,DAUSA,alooda,Boroda,37084,0.22222222222222238,2,loose
dausa,LALSOT,nijampura,Nirjharna,37158,0.22222222222222238,2,loose
