order,gp_name,gp_villages,panchayat_samiti,district,verified_or_not,gp_name_goog_translate,gp_village_goog_translate,ps_goog_translate,,,,,,,,,,,,,,
1,सान्दौलिया,सान्दौलिया,अरांई,ajmer,1,sandaulia,sandaulia,arai,,,,,,,,,,,,,,
2,सान्दौलिया,सील,अरांई,ajmer,1,sandaulia,seal,arai,,,,,,,,,,,,,,
3,सान्दौलिया,काकलवाडा,अरांई,ajmer,1,sandaulia,kakalwada,arai,,,,,,,,,,,,,,
4,सान्दौलिया,गुन्दली,अरांई,ajmer,1,sandaulia,gundali,arai,,,,,,,,,,,,,,
5,सान्दौलिया,मोठी,अरांई,ajmer,1,sandaulia,muth,arai,,,,,,,,,,,,,,
6,ढसूक,ढसूक,अरांई,ajmer,1,dusuk,dusuk,arai,,,,,,,,,,,,,,
7,ढसूक,बालापुरा,अरांई,ajmer,1,dusuk,balapura,arai,,,,,,,,,,,,,,
8,ढसूक,पाण्डरवाडा,अरांई,ajmer,1,dusuk,pandarwada,arai,,,,,,,,,,,,,,
9,ढसूक,माण्डियावड कला,अरांई,ajmer,1,dusuk,mandiavad art,arai,,,,,,,,,,,,,,
10,ढसूक,माण्डियावड खुर्द,अरांई,ajmer,1,dusuk,mandiavad khurd,arai,,,,,,,,,,,,,,
11,ढसूक,किशनपुरा,अरांई,ajmer,1,dusuk,kishanpura,arai,,,,,,,,,,,,,,
12,मालपुरा,मालपुरा,जवाजा,ajmer,1,malpura,malpura,jawaja,,,,,,,,,,,,,,
13,मालपुरा,बायला,जवाजा,ajmer,1,malpura,byla,jawaja,,,,,,,,,,,,,,
14,मालपुरा,मान्डेडा,जवाजा,ajmer,1,malpura,mandeda,jawaja,,,,,,,,,,,,,,
15,मालपुरा,भवानीखेडा,जवाजा,ajmer,1,malpura,bhawanikheda,jawaja,,,,,,,,,,,,,,
16,मालपुरा,रामपुरा गुंदो का बाला,जवाजा,ajmer,1,malpura,rampura gundo's bala,jawaja,,,,,,,,,,,,,,
17,मेडिया,मेडिया,जवाजा,ajmer,1,media,media,jawaja,,,,,,,,,,,,,,
