sl_no,dist_name,samiti_name,gp,reservation,name,sex_manual,category,gp_new,dist_name_new,samiti_name_new
2071,BHARA TPUR,ROOPWAS,DHANA,SC (Woman),A VLESH,F,SC (Woman),dhana,BHARATPUR,RUPBAS
2712,BIKANER,KHAJUW ALA,2 ADM,SC (Woman),AACHUKI,F,SC (Woman),2 adm,BIKANER,KHAJUWALA
4869,ANUMANGAR,H TIBBI,KHINANIYA,General,AADRAM,M,OBC,khinaniya,HANUMANGARH,TIBI
8410,S. MADHOPUR,BAMANW AS,MORP A,ST,AAJAD MEENA,M,ST,morp a,SAWAIMADHOPUR,BAMANWAS
8750,SIKAR,LAXMANGARH,RAJAS,General,AALAM ALI KHAN,M,General,rajas,SIKAR,LAXMANGARH
5453,JAISALMER,JAISALMER,RUPSI,General,AAMB SINGH BHATI,M,General,rupsi,JAISALMER,JAISALMER
6642,JODHPUR,PHALODI,JAGARIYA,OBC,AAMDIN,M,OBC,jagariya,JODHPUR,PHALODI
5292,JAIPUR,SAMBHARLAKE,NANDARI,SC,AANANDI LAL BALAI,M,SC,nandari,JAIPUR,SAMBHARLAKE
1514,BARMER,SHIV,BALASAR,OBC,AARABH KHAN,M,OBC,balasar,BARMER,SHEO
9048,SIROHI,SHIVGANJ,KESARPURA,General (Woman),AARATI DEVI,F,ST (Woman),kesarpura,SIROHI,SHEOGANJ
7638,NAGAUR,MOULASAR,SUDRASAN,General (Woman),AARTEE DEVI,F,General (Woman),sudrasan,NAGAUR,MOULASAR
6395,JODHPUR,BALESAR,GOP ALSAR,General (Woman),AARTI,F,General (Woman),gop alsar,JODHPUR,BALESAR
4753,ANUMANGAR,H NOHAR,P ARLIKA,General (Woman),AARTI,F,OBC (Woman),p arlika,HANUMANGARH,NOHAR
1866,BHARA TPUR,BAYANA,MAHRAWAR,General (Woman),AARTI BAI GURJAR,F,OBC (Woman),mahrawar,BHARATPUR,BAYANA
2317,BHILWARA,JAHAZPUR,DHOR,ST (Woman),AARTI DEVI MEENA,F,ST,dhor,BHILWARA,JAHAZPUR
2026,BHARA TPUR,NAGAR,BHA TPURA,General,AASEEN KHAN,M,SC,bhatpura,BHARATPUR,NAGAR
7212,KOT A,SULTANPUR,KHERLI TAVRAN,General (Woman),AASHA BAI,F,General (Woman),kherli tavran,KOTA,SULTANPUR
8993,SIROHI,PINDW ARA,VEERVADA,General (Woman),AASHA DEVI,F,General,veervada,SIROHI,PINDWARA
8968,SIROHI,PINDW ARA,DHANARI,General (Woman),AASHA DEVI,F,OBC,dhanari,SIROHI,PINDWARA
6777,JODHPUR,BAPINI,RIDMALSAR,OBC (Woman),AASHA DEVI,F,OBC (Woman),ridmalsar,JODHPUR,BAPINI
9306,TONK,UNIARA,MOHAMMEDGARH,SC (Woman),AASHA DEVI,F,SC (Woman),mohammedgarh,TONK,UNIARA
2373,BHILWARA,KOTRI,SAWAIPUR,General (Woman),AASHA DEVI JAT,F,OBC (Woman),sawaipur,BHILWARA,KOTRI
1692,BARMER,KALYANPUR,RODAVA KALAN,SC,AASHARAM,M,SC,rodava kalan,BARMER,KALYANPUR
2772,BIKANER,LUNKARANSAR,DHIRERA,General (Woman),AASHI,F,OBC (Woman),dhirera,BIKANER,LUNKARANSAR
2765,BIKANER,KOLAYAT,PHULASAR BADA,SC (Woman),AASHI DEVI,F,SC (Woman),phulasar bada,BIKANER,KOLAYAT
5605,JALORE,BHEENMAL,BORTA,General,AASHURAM DEVASI,M,OBC,borta,JALORE,BHINMAL
1568,BARMER,SINDHARI,LOHIDI,General (Woman),AASI,F,OBC (Woman),lohidi,BARMER,SINDHARI
263,AJMER,SARW AD,SOONP A,OBC,AASMEENA,M,OBC,soonpa,AJMER,SARW AD
1940,BHARA TPUR,KAMAN,OLANDA,General (Woman),AASMEENA,F,OBC (Woman),olanda,BHARATPUR,KAMAN
4655,ANUMANGAR,H BHADRA,GADHARA,General,AATMARAM,M,OBC,gadhara,HANUMANGARH,BHADRA
7122,KOT A,KHERABAD,KHIMACH,General,ABDUL SALAM,M,General,khimach,KOTA,KHAIRABAD
8501,S. MADHOPUR,KHANDAR,AKSHA YGARH,General (Woman),ABHILEKHA,F,OBC (Woman),aksha ygarh,SAWAIMADHOPUR,KHANDAR
7567,NAGAUR,PARBATSAR,MAYAPUR,General,ABHISHEK SINGH,M,General,mayapur,NAGAUR,PARBATSAR
7962,P ALI,SOJAT,DHAKARI,General,ACHALA RAM,M,OBC,dhakari,PALI,SOJAT
5478,JAISALMER,SAM,HARNAU,General (Woman),ACHHAR,F,General (Woman),harnau,JAISALMER,SAM
6607,JODHPUR,OSIYAN,KINJARI,OBC (Woman),ACHLADEVI,F,OBC (Woman),kinjari,JODHPUR,OSIAN
1430,BARMER,BARMER,GALABERI,OBC,ACHLARAM,M,OBC,galaberi,BARMER,BARMER
9125,TONK,DEOLI,THANWLA,General (Woman),ADESH KANWAR,F,General (Woman),thanwla,TONK,DEOLI
1387,BARMER,BARMER,BOLA,General (Woman),ADHAL,F,OBC (Woman),bola,BARMER,BARMER
7803,P ALI,MARWAR JUN,CHAUKDIYA,SC (Woman),ADITI,F,SC (Woman),chaukdiya,PALI,MARWAR JUN
6505,JODHPUR,BILARA,MALKOSNI,General (Woman),ADITI KANWAR,F,OBC (Woman),malkosni,JODHPUR,BILARA
2028,BHARA TPUR,NAGAR,DABAK,General,AFSANA,M,OBC,dabak,BHARATPUR,NAGAR
2080,BHARA TPUR,ROOPWAS,KHANUA,General (Woman),AFSANA,F,OBC (Woman),khanua,BHARATPUR,RUPBAS
8509,S. MADHOPUR,KHANDAR,CHHAN,OBC (Woman),AFSANA BANO,F,OBC (Woman),chhan,SAWAIMADHOPUR,KHANDAR
6627,JODHPUR,PHALODI,NENAU,General (Woman),AGAR KANWAR,F,General (Woman),nenau,JODHPUR,PHALODI
618,ALWAR,RAJGARH,TILWAD,ST,AGAR KANWAR,M,ST,tilwad,ALWAR,RAJGARH
8036,PRA T APGARH,ARNOD,MOHEDA,ST (Woman),AGASI MEENA,F,ST (Woman),moheda,PRATAPGARH,ARNOD
7493,NAGAUR,MUNDW A,JANANA,General,AIDAAN RAM,M,OBC,janana,NAGAUR,MUNDAWA
1569,BARMER,SINDHARI,LUKHO KI DHANI,General,AIDAN RAM,M,OBC,lukho ki dhani,BARMER,SINDHARI
8378,RAJSAMAND,RAJSAMAND,PIPALI AACHARYAN,ST (Woman),AIJI DEVI GAMETI,F,ST (Woman),pipali aacharyan,RAJSAMAND,RAJSAMAND
5689,JALORE,JALORE,SAMUJA,SC,AJARAM,M,SC,samuja,JALORE,JALORE
6217,JHUNJHUNU,JHUNJHUNU,PATUSARI,OBC,AJAY KUMAR,M,OBC,patusari,JHUNJHUNU,JHUNJHUNU
3082,CHITTORGARH,BARISADRI,RATICHANDJI KA KHEDA,ST,AJAY MINA,M,ST,ratichandji ka kheda,CHITTORGARH,BARISADRI
9215,TONK,TODARAISINGH,DABADDUNBA,General,AJAY RAJ SINGH,M,General,dabaddunba,TONK,TODARAISINGH
3196,CHITTORGARH,CHITTORGARH,GHATIYAWALI,General,AJAY SINGH,M,General,ghatiyawali,CHITTORGARH,CHHITORGARH
3814,DAUSA,SIKRAI,UDAIPURA,General,AJAY SINGH,M,General,udaipura,DAUSA,SIKRAI
8451,S. MADHOPUR,BONLI,MAMDOLI,General,AJAY SINGH,M,General,mamdoli,SAWAIMADHOPUR,BONLI
8458,S. MADHOPUR,BONLI,SAKRA,ST,AJAY SINGH MEENA,M,ST,sakra,SAWAIMADHOPUR,BONLI
4575,GANGANAGAR,SURA TGARH,GHAMANDIYA,General,AJAYAB SINGH,M,OBC,ghamandiya,GANGANAGAR,SURATGARH
5422,JAISALMER,JAISALMER,AVAI,General,AJAYPAL SINGH,M,General,avai,JAISALMER,JAISALMER
3659,DAUSA,DAUSA,CHAWANDEDA,General,AJEET SINGH RAJAWAT,M,General,chawandeda,DAUSA,DAUSA
3412,CHURU,RAJGARH,KALRI,General,AJIT KUMAR,M,OBC,kalri,CHURU,RAJGARH
9425,UDAIPUR,GIRWA,ZAABLA,ST,AJIT MEENA,M,ST,zaabla,UDAIPUR,GIRWA
5807,JALORE,SAYLA,DETAKLA,General,AJIT SINGH,M,General,detakla,JALORE,SAYLA
3550,CHURU,SUJANGARH,RAJIYASAR MITHA,General,AJIT SINGH RATHOR,M,General,rajiyasar mitha,CHURU,SUJANGARH
1094,BANSW ARA,ARA THUNA,KOTDA,ST,AJITPAL SINGHADA,M,ST,kotda,BANSWARA,ARA THUNA
8131,PRA T APGARH,PIP ALKHUNT,SAMELIA,ST,AJMAAL,M,ST,samelia,PRATAPGARH,PEEPALKHOONT
7485,NAGAUR,MUNDW A,ROOPATHAL,General (Woman),AJODHAYA,F,OBC (Woman),roopathal,NAGAUR,MUNDAWA
8432,S. MADHOPUR,BONLI,CHAK BILOLI,General,AJRUDDEN,M,General,chak biloli,SAWAIMADHOPUR,BONLI
2009,BHARA TPUR,NADBAI,LAKHANPUR,SC (Woman),AKLESH KUMARI,F,SC (Woman),lakhanpur,BHARATPUR,NADBAI
4064,DUNGARPUR,BICHIW ARA,JHINJHVA,ST (Woman),ALASHI,F,ST (Woman),jhinjhva,DUNGARPUR,BICHHIWARA
6261,JHUNJHUNU,KHETRI,TYONDA,General,ALBAD SINGH,M,General,tyonda,JHUNJHUNU,KHETRI
5384,JAIPUR,PAWATA,PRAGPURA,OBC (Woman),ALEN,F,OBC (Woman),pragpura,JAIPUR,PAWATA
2277,BHILWARA,BANERA,NIMBAHEDA KALAN,OBC (Woman),ALLDI BANU KAYAMKHANI,F,OBC (Woman),nimbaheda kalan,BHILWARA,BANERA
653,ALWAR,RAMGARH,RAMGARH,General,ALLI,M,General,ramgarh,ALWAR,RAMGARH
6805,JODHPUR,LOHAWAT,P ALINA,General (Woman),ALLI,F,OBC (Woman),p alina,JODHPUR,LOHAWAT
4101,DUNGARPUR,DUNGARPUR,UP ARGAON,ST (Woman),ALPA KATARA,F,ST (Woman),up argaon,DUNGARPUR,DUNGARPUR
440,ALWAR,KOTKASIM,TAUBAS,SC,AMAN DEP,F,SC (Woman),taubas,ALWAR,KOTKASIM
4417,GANGANAGAR,P ADAMPUR,4 JJ,SC (Woman),AMAN DEP,F,SC (Woman),4 jj,GANGANAGAR,PADAMPUR
499,ALWAR,MUNDAWAR,GOPIPURA,General (Woman),AMANDEEP,F,OBC (Woman),gopipura,ALWAR,MANDAWAR
4773,ANUMANGAR,H PILIBANGA,DABLIBAS KUTUB,General (Woman),AMANDEEP,F,OBC (Woman),dablibas kutub,HANUMANGARH,PILIBANGA
4630,GANGANAGAR,SHRI VIJAYNAGAR,7 GB,General (Woman),AMANDEEP KOUR,F,OBC (Woman),7 gb,GANGANAGAR,SHRI VIJAYNAGAR
2393,BHILWARA,MANDAL,DHUWALA (KAREDA),OBC,AMAR CHAND GURJAR,M,OBC,dhuwala (kareda),BHILWARA,MANDAL
8204,RAJSAMAND,BHIM,AJEETGARH,General,AMAR SINGH,M,OBC,ajeetgarh,RAJSAMAND,BHIM
1610,BARMER,RAMSAR,HA THAMA,OBC,AMAR SINGH,M,OBC,hathama,BARMER,RAMSAR
3865,DHOLPUR,BARI,SEHEDI,OBC,AMAR SINGH,M,OBC,sehedi,DHOLPUR,BARI
2011,BHARA TPUR,NADBAI,MAI,SC,AMAR SINGH,M,SC,mai,BHARATPUR,NADBAI
2207,BHARA TPUR,P AHADI,MATUKI,SC,AMAR SINGH,M,SC,matuki,BHARATPUR,P AHADI
8960,SIROHI,PINDW ARA,ACHAPURA,General,AMAR SINGH DEWAL,M,General,achapura,SIROHI,PINDWARA
3810,DAUSA,SIKRAI,SIKANDARA,General,AMAR SINGH KASANA,M,OBC,sikandara,DAUSA,SIKRAI
7808,P ALI,MARWAR JUN,DHANLA,OBC,AMARA RAM,M,OBC,dhanla,PALI,MARWAR JUN
1663,BARMER,PATAUDI,KESARPURA,OBC,AMARE KHAN,M,OBC,kesarpura,BARMER,PATAUDI
7636,NAGAUR,MOULASAR,PIDAWA,General,AMARJEET BHAKAR,M,General,pidawa,NAGAUR,MOULASAR
4324,GANGANAGAR,ANUPGARH,18 P,SC (Woman),AMARJEET KOUR,F,SC,18 p,GANGANAGAR,ANUPGARH
8906,SIKAR,PATAN,BIHAR,General,AMARNA TH,M,General,bihar,SIKAR,PATAN
204,AJMER,PEESANGAN,NAGELAV,General,AMARSINGH,M,OBC,nagelav,AJMER,PEESANGAN
1071,BANSW ARA,GANGAD TALAI,MOTI TIMBI,ST,AMARSINGH,M,ST,moti timbi,BANSWARA,GANGAD TALAI
1629,BARMER,GIDA,JAJWA,OBC (Woman),AMARU,F,OBC (Woman),jajwa,BARMER,GIDA
6744,JODHPUR,TINW ARI,CHERAI,General,AMB SINGH,M,General,cherai,JODHPUR,TINW ARI
8158,PRA T APGARH,PRA T APGARH,GHOT ARASI,ST,AMBA LAL,M,ST,ghotarasi,PRATAPGARH,PRATAPGARH
9320,UDAIPUR,BADGAON,BADI,ST,AMBA LAL GAMETI,M,ST,badi,UDAIPUR,BARGAON
9630,UDAIPUR,MAWALI,PALANA KALAN,General,AMBA LAL NAI,M,OBC,palana kalan,UDAIPUR,MAVLI
8353,RAJSAMAND,RAILMAGRA,RAJPURA,SC,AMBA LAL SALVI,M,SC,rajpura,RAJSAMAND,RAILMAGRA
5782,JALORE,SANCHORE,PEMANA,General,AMBA RAM,M,OBC,pemana,JALORE,SANCHORE
4243,DUNGARPUR,CHIKHALI,SAKODRA,ST (Woman),AMBADI,F,ST (Woman),sakodra,DUNGARPUR,CHIKHALI
9681,UDAIPUR,SARADA,CHAVAND,ST,AMBALAL,M,ST,chavand,UDAIPUR,SARADA
9141,TONK,MALPURA,GANVAR,SC,AMBALAL BALAI,M,SC,ganvar,TONK,MALPURA
8171,PRA T APGARH,PRA T APGARH,MANOHARGARH,ST,AMBALAL MEENA,M,ST,manohargarh,PRATAPGARH,PRATAPGARH
3246,CHITTORGARH,DOONGL A,PIRANA,OBC,AMBALAL PATIDAR,M,OBC,pirana,CHITTORGARH,DUNGLA
1480,BARMER,CHAUHA T AN,GOLIYAR,ST,AMBARAM,M,ST,goliyar,BARMER,CHOHTAN
5604,JALORE,BHEENMAL,BHALANI,SC,AMBHA RAM MEGHWAL,M,SC,bhalani,JALORE,BHINMAL
4908,JAIPUR,AMER,SHYAMPURA,General,AMEEN KHA,M,General,shyampura,JAIPUR,AMBER
1827,BARMER,GADRAROAD,KHANIYANI,General,AMEER HASAN,M,General,khaniyani,BARMER,GADRAROAD
4456,GANGANAGAR,RAISNGHNAGAR,48 NP,General (Woman),AMENDEEP KOUR,F,OBC (Woman),48 np,GANGANAGAR,RAISINGHNAGAR
4598,GANGANAGAR,SURA TGARH,THETHAR,OBC,AMICHAND,M,OBC,thethar,GANGANAGAR,SURATGARH
4492,GANGANAGAR,SADULSAHAR,DHARMSINGH WALA,SC,AMILAL,M,SC,dharmsingh wala,GANGANAGAR,SADULSHAHAR
2698,BIKANER,KHAJUW ALA,NOSERA,OBC (Woman),AMINA,F,OBC (Woman),nosera,BIKANER,KHAJUWALA
9094,TONK,DEOLI,BIJW AD,General,AMIT KUMAR,M,General,bijwad,TONK,DEOLI
3430,CHURU,RAJGARH,RAMPURA,ST,AMIT KUMAR,M,ST,rampura,CHURU,RAJGARH
7126,KOT A,KHERABAD,LAKHARIYA,SC (Woman),AMITA RAWAL,F,SC (Woman),lakhariya,KOTA,KHAIRABAD
1566,BARMER,SINDHARI,BILASAR,SC,AMIYA DEVI,F,SC,bilasar,BARMER,SINDHARI
734,ALWAR,TIJARA,Thada,OBC (Woman),AMMBA,F,OBC (Woman),thada,ALWAR,TIJARA
8099,PRA T APGARH,DHRIABAD,PARSOLA,ST (Woman),AMMBA,F,ST (Woman),parsola,PRATAPGARH,DHARIAWAD
19,AJMER,ARAI,BHAGW ANTPURA,OBC (Woman),AMMI LAL,F,OBC (Woman),bhagwantpura,AJMER,ARAI
561,ALWAR,NEEMRANA,SHAHAJAHANPUR,SC,AMMI LAL,M,SC,shahajahanpur,ALWAR,NEEMRANA
6100,JHUNJHUNU,ALSISAR,KAKREU KALAN,ST,AMMI LAL,M,ST,kakreu kalan,JHUNJHUNU,ALSISAR
7459,NAGAUR,MERTA,KHERULI,OBC,AMRA RAM,M,OBC,kheruli,NAGAUR,MERTA
7935,P ALI,ROHAT,DIW ANDI,SC,AMRARAM,M,SC,diw andi,PALI,ROHAT
6905,KARAULI,KAURALI,CHENPURW ARIA,General,AMREKHA,M,ST (Woman),chenpurw aria,KARAULI,KARAULI
5632,JALORE,BHEENMAL,SEVDI,General (Woman),AMRIT KANWAR,F,General (Woman),sevdi,JALORE,BHINMAL
8014,P ALI,SUMERPUR,PAWA,SC,AMRIT KUMAR,M,SC,pawa,PALI,SUMERPUR
470,ALWAR,LAXMANGARH,LILI,OBC,AMRIT PAL,M,OBC,lili,ALWAR,LAXMANGARH
4697,ANUMANGAR,H HANUMANGARH,HIRANAWALI,SC (Woman),AMRIT PAL,F,SC (Woman),hiranawali,HANUMANGARH,HANUMANGARH
3970,DHOLPUR,RAJAKHERA,PHRASPURA,OBC (Woman),AMRITA DEVI,F,OBC (Woman),phraspura,DHOLPUR,RAJAKHERA
456,ALWAR,LAXMANGARH,GHAT,General (Woman),AMRITPAL,F,OBC (Woman),ghat,ALWAR,LAXMANGARH
4433,GANGANAGAR,P ADAMPUR,RATTEWALA (9 BB),General (Woman),AMRITPAL,F,OBC (Woman),rattewala (9 bb),GANGANAGAR,PADAMPUR
4389,GANGANAGAR,KARANPUR,9 FA MAJHIWALA,General,AMRITPAL SINGH,M,General,9 fa majhiwala,GANGANAGAR,KARANPUR
4383,GANGANAGAR,KARANPUR,52 GG GULABEWALA,General,AMRITPAL SINGH,M,OBC,52 gg gulabewala,GANGANAGAR,KARANPUR
4524,GANGANAGAR,SRI GANGANAGAR,3 H CHHOTI,General,AMRITPAL SINGH,M,OBC,3 h chhoti,GANGANAGAR,GANGANAGAR
1502,BARMER,DHORIMANNA,MEHLU,General (Woman),AMRU DEVI,F,OBC (Woman),mehlu,BARMER,DHORIMANNA
6716,JODHPUR,DECHU,CHANDSAMA,General (Woman),ANACHI DEVI,F,OBC (Woman),chandsama,JODHPUR,DECHU
