ac07_id,pc01_vd_area,pc01_vd_t_hh,pc01_vd_t_p,pc01_vd_t_m,pc01_vd_t_f,pc01_vd_sc_p,pc01_vd_sc_m,pc01_vd_sc_f,pc01_vd_st_p,pc01_vd_st_m,pc01_vd_st_f,pc01_vd_edu_fac,pc01_vd_p_sch,pc01_vd_m_sch,pc01_vd_s_sch,pc01_vd_s_s_sch,pc01_vd_college,pc01_vd_ind_sch,pc01_vd_tr_sch,pc01_vd_adlt_lt_ct,pc01_vd_oth_sch,pc01_vd_medi_fac,pc01_vd_hosp,pc01_vd_all_hosp,pc01_vd_ayu_hosp,pc01_vd_un_hosp,pc01_vd_hom_hosp,pc01_vd_disp_cntr,pc01_vd_all_disp,pc01_vd_ayu_disp,pc01_vd_un_disp,pc01_vd_hom_disp,pc01_vd_mcw_cntr,pc01_vd_m_home,pc01_vd_cwc,pc01_vd_h_cntr,pc01_vd_ph_cntr,pc01_vd_phs_cnt,pc01_vd_fwc_cntr,pc01_vd_tb_cln,pc01_vd_n_home,pc01_vd_rmp,pc01_vd_smp,pc01_vd_chw,pc01_vd_oth_cntr,pc01_vd_tap,pc01_vd_well,pc01_vd_tank,pc01_vd_tubewell,pc01_vd_handpump,pc01_vd_river,pc01_vd_canal,pc01_vd_lake,pc01_vd_spring,pc01_vd_other,pc01_vd_p_t_fac,pc01_vd_post_off,pc01_vd_tele_off,pc01_vd_post_tele,pc01_vd_phone,pc01_vd_comm_fac,pc01_vd_bs_fac,pc01_vd_rs_fac,pc01_vd_nw_fac,pc01_vd_bank_fac,pc01_vd_comm_bank,pc01_vd_coop_bank,pc01_vd_crsoc_fac,pc01_vd_ac_soc,pc01_vd_nac_soc,pc01_vd_other_soc,pc01_vd_rc_fac,pc01_vd_c_v_hall,pc01_vd_sp_cl_fac,pc01_vd_st_au_fac,pc01_vd_app_pr,pc01_vd_app_mr,pc01_vd_app_fp,pc01_vd_app_navriv,pc01_vd_app_navcan,pc01_vd_app_nw,pc01_vd_dist_town,pc01_vd_power_supl,pc01_vd_power_dom,pc01_vd_power_agr,pc01_vd_power_oth,pc01_vd_power_all,pc01_vd_pap_mag,pc01_vd_tot_inc,pc01_vd_tot_exp,pc01_vd_land_fores,pc01_vd_canal_govt,pc01_vd_canal_pvt,pc01_vd_well_wo_el,pc01_vd_tw_wo_el,pc01_vd_tw_w_el,pc01_vd_tank_irr,pc01_vd_river_irr,pc01_vd_lake_irr,pc01_vd_w_fall,pc01_vd_oth_irr,pc01_vd_tot_irr,pc01_vd_un_irr,pc01_vd_cult_waste,pc01_vd_area_na_cu,_mean_p_miss,_core_p_miss,_target_weight_share,_target_group_max_weight_share,_frag_pop_share
2007-13-020,0.0,127.0,738.0,376.0,362.0,0.0,0.0,0.0,738.0,376.0,362.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,0.0,1.0,,,,15.0,1.0,1.0,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2007-17-032,0.0,58.0,243.0,128.0,115.0,0.0,0.0,0.0,243.0,128.0,115.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0340425531914894,,1.0,1.0,1.0,0.0,0.0,0.0,49.0,0.0,,,,,2.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2007-22-036,268.0,251.0,1358.0,666.0,692.0,30.0,13.0,17.0,291.0,139.0,152.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,26.0,1.0,,,,1.0,2.0,1600.0,1600.0,0.0,0.0,0.0,10.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,33.0,139.0,73.0,23.0,0.0,0.0,1.0,1.0,0.0
2007-22-033,552.0,331.0,1726.0,876.0,850.0,203.0,105.0,98.0,506.0,256.0,250.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,8.0,1.0,,,,1.0,2.0,311571.0,298332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,53.0,252.0,0.0,0.0,1.0,1.0,0.0
2007-23-050,251.0,192.0,1022.0,546.0,476.0,91.0,50.0,41.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,15.0,1.0,1.0,1.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,20.0,0.0,44.0,28.0,28.0,151.0,0.0,0.0,1.0,1.0,0.0
2007-27-096,369.0,70.0,370.0,186.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,3.0,1.0,,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,725.0,182.5,15.0,0.0,0.0,1.0,1.0,0.0
2007-27-102,551.0,4.0,66.0,40.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,6.0,1.0,1.0,,,,2.0,0.0,0.0,617.0499878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,669.0499878,65.37000275,14.14000034,0.0,0.0,1.0,1.0,0.0
2007-14-054,140.6699982,805.0,5040.0,2496.0,2544.0,0.0,0.0,0.0,2195.0,1093.0,1102.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,,,,2.0,1.0,1.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2007-10-189,87.23956502933108,162.84718805475134,1183.913597085547,614.6754352691619,569.2381618163853,121.65072679090055,62.764020396102076,58.88670639479847,3.634981876222128,2.0598230631925394,1.5751588130295888,1.0,0.605830312703688,0.3634981876222128,0.1211660625407376,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1211660625407376,0.0,0.0,0.0,0.3634981876222128,0.0,0.4846642501629504,0.0,0.0,0.1211660625407376,0.1211660625407376,0.1211660625407376,0.1211660625407376,0.0,0.0,0.0,0.0,0.0,1.0,0.1211660625407376,0.0,0.0,0.4846642501629504,1.0,1.0,,,0.0,0.0,0.0,1.0,0.1211660625407376,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.5558437661476585,46.05522111084734,0.0,0.0,0.0,0.0,0.0,0.0,53.79167494318642,18.23549241238101,1.281936931987719,13.921980767679845,0.0,0.0,0.1211660625407376,0.9652977798661088,1.0
2007-18-053,41.05571260065056,510.37885860416577,2621.1254946611416,1399.516791298647,1221.6087033624945,917.7159287204242,473.3482158663241,444.36771285410015,137.25488232178276,65.60863876378471,71.64624355799803,1.0,0.4025069862808878,0.4025069862808878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8050139725617756,0.8050139725617756,0.8050139725617756,0.4025069862808878,0.8050139725617756,0.8050139725617756,0.8050139725617756,0.8050139725617756,0.8050139725617756,0.8050139725617756,1.0,0.0,0.0,0.0,0.4025069862808878,1.0,1.0,0.0,0.0,1.0,0.4025069862808878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.226323355949322,1.839456996534859,35.05835788922964,0.0,0.0,0.4025069862808878,0.4056178722097017,1.0
