"state","period","sample","fixed_effects","outcome","contrast","variance","n","clusters","left_n","right_n","left_clusters","right_clusters","common_clusters","left_mean","right_mean","estimate","standard_error","p_value","conf_low","conf_high","mde_80","bootstrap_seed","bootstrap_B","bootstrap_p","bootstrap_low","bootstrap_high"
"raj","05_10","full",TRUE,"female_winner_2010","treat_2005","cluster",4061,231,1341,2720,231,231,231,0.106636838180462,0.0919117647058824,0.0143705042905542,0.00926426777107108,0.122234546560827,-0.00388317685491538,0.0326241854360239,0.0259546356440731,120002,9999,0.121312131213121,-0.00368891004736463,0.0324882118759899
"raj","10_15","full",TRUE,"female_winner_2015","treat_2010","cluster",3867,248,2584,1283,247,234,233,0.0677244582043344,0.088074824629774,-0.0281400965476745,0.0113968401349687,0.0142222315836818,-0.0505874810399738,-0.00569271205537526,0.031929218855325,120006,9999,0.0129012901290129,-0.0506257111779484,-0.0057629011175212
"raj","15_20","full",TRUE,"female_winner_2020","treat_2015","cluster",4014,294,2504,1510,294,275,275,0.126996805111821,0.121854304635762,0.0041160236248387,0.011375054399958,0.717727557858668,-0.0182711464636408,0.0265031937133183,0.0318681842621531,120010,9999,0.714971497149715,-0.0180336015165973,0.0263086846688162
"raj","05_20","full",TRUE,"female_winner_2020","111-000","cluster",2671,230,149,225,98,122,65,0.167785234899329,0.0844444444444444,0.0942430692153644,0.0328842894355206,0.00454541985676844,0.0294486123332924,0.159037526097436,0.0921281391907029,120019,9999,0.0048004800480048,0.0282299657862176,0.160039500354332
"raj","05_20","full",TRUE,"female_winner_2020","111-001","cluster",2671,230,149,873,98,211,88,0.167785234899329,0.101947308132875,0.0533793438201408,0.0320794338355524,0.0974853827615374,-0.0098292438713961,0.116587931511678,0.0898732676391167,120020,9999,0.0999099909990999,-0.0103321399177365,0.116904705216709
"raj","05_20","full",TRUE,"female_winner_2020","101-001","cluster",2671,230,411,873,177,211,166,0.143552311435523,0.101947308132875,0.0337563176758735,0.0202761585171071,0.0973146150901654,-0.00619536445935449,0.0737079998111015,0.0568053859816427,120021,9999,0.103010301030103,-0.00681386706773287,0.0739929110496476
"raj","05_20","full",TRUE,"female_winner_2020","011-001","cluster",2671,230,273,873,141,211,128,0.131868131868132,0.101947308132875,0.0186833907993199,0.0252598157474918,0.460270709333977,-0.0310879763305421,0.0684547579291819,0.0707675264104301,120022,9999,0.45984598459846,-0.0315381257803819,0.0682044015346587
"up","05_10","full",TRUE,"female_winner_2010","treat_2005","cluster",28002,742,13343,14659,725,733,716,0.151165405081316,0.131659731223139,0.0205073114435645,0.00437310341685992,3.26176183796933e-06,0.0119221634859019,0.0290924594012271,0.0122516218899541,120040,9999,0,0.0118859688725155,0.0291439249277125
"up","10_15","full",TRUE,"female_winner_2015","treat_2010","cluster",25963,678,9474,16489,674,677,673,0.170466540004222,0.153071744799563,0.0164656531881598,0.00469378836843037,0.000481408555062272,0.00724952061799123,0.0256817857583283,0.0131500481099451,120044,9999,0.0005000500050005,0.00719563965967177,0.0256545452543862
"up","15_21","full",TRUE,"female_winner_2021","treat_2015","cluster",30975,693,13310,17665,693,693,693,0.222238918106687,0.185338239456553,0.0357876932226092,0.00479148973273769,2.44138796231642e-13,0.0263800917491878,0.0451952946960305,0.013423766807978,120048,9999,0,0.0263522034066203,0.0452680876129423
"up","05_21","full",TRUE,"female_winner_2021","111-000","cluster",19264,564,798,2916,396,547,385,0.25187969924812,0.170438957475995,0.0765549727850639,0.0162546387231867,3.12783479843224e-06,0.0446278303686001,0.108482115201528,0.0455387555726466,120053,9999,0,0.0445186637166323,0.108907358253764
"up","05_21","full",TRUE,"female_winner_2021","111-001","cluster",19264,564,798,3978,396,556,392,0.25187969924812,0.206636500754148,0.0400343869224666,0.0161240136547348,0.0133217758945896,0.00836381650582678,0.0717049573391064,0.0451727983117567,120054,9999,0.013001300130013,0.00817285414838819,0.0713881620044029
"up","05_21","full",TRUE,"female_winner_2021","101-001","cluster",19264,564,2398,3978,539,556,533,0.208507089241034,0.206636500754148,-0.00286722610541933,0.0107477191848071,0.789739849184588,-0.0239777513474239,0.0182432991365852,0.0301106511965849,120055,9999,0.795679567956796,-0.0241126509101676,0.0183194432904928
"up","05_21","full",TRUE,"female_winner_2021","011-001","cluster",19264,564,1279,3978,492,556,489,0.222048475371384,0.206636500754148,0.0117744731489473,0.0133811974884207,0.379274443912304,-0.0145086947018531,0.0380576409997477,0.0374885650842099,120056,9999,0.376737673767377,-0.0147237934446045,0.0382588868901229
